mot	docs
Médaille	['67068', '67383', '67937', '67937', '67937', '67937', '71835', '72636']
l'Innovation,	['67068', '73190']
Valérie	['67068']
Pécresse,	['67068']
ministre	['67068', '68888', '68888', '69177', '70914', '71620', '71837', '71837', '71837', '72393', '72933', '72933', '73182', '73182', '74456', '74746', '74746', '74746']
l'Enseignement	['67068', '68277', '69181', '70914', '71620', '71837', '72113', '73182', '75457']
supérieur	['67068', '67795', '67795', '67795', '67940', '67944', '68273', '68277', '68280', '68383', '69181', '69185', '69540', '69820', '70167', '70168', '70748', '70914', '70914', '70917', '71358', '71358', '71361', '71361', '71362', '71362', '71363', '71620', '71837', '72113', '72397', '72633', '72637', '72932', '72935', '72938', '73182', '73182', '73183', '73876', '74173', '74175', '74455', '75066', '75457', '75457', '76210', '76513']
recherche	['67068', '67068', '67068', '67071', '67388', '67794', '67794', '67799', '67937', '67945', '68384', '68385', '68385', '68385', '68386', '68387', '68387', '68393', '68639', '68883', '68885', '69178', '69181', '69181', '69533', '69536', '69537', '69812', '69816', '69817', '69819', '70164', '70420', '70423', '70425', '70426', '70428', '70743', '70743', '70745', '71612', '71612', '71618', '71620', '71837', '72115', '72122', '72393', '72394', '72396', '72397', '72399', '72631', '72631', '72631', '72933', '72938', '73184', '73184', '73188', '73683', '73690', '73690', '73876', '73877', '73883', '73883', '74168', '74168', '74170', '74174', '74449', '74744', '74744', '74744', '74745', '74745', '74749', '74750', '75064', '75068', '75457', '75459', '75790', '75793', '76507', '76511', '76515', '76515']
l'origine	['67068', '67555', '68638', '69539', '72933', '73186', '73431', '76514']
création.	['67068', '67553']
souhaiter	['67068', '67068', '67553', '67553', '67553', '67553', '67795', '67800', '68273', '68273', '68274', '68638', '68638', '68638', '68642', '68642', '68643', '68643', '68643', '69812', '69819', '70165', '70421', '70422', '70425', '71359', '71612', '71612', '71618', '72392', '72395', '72395', '72629', '72630', '72635', '72938', '73182', '73431', '73683', '73684', '73687', '73875', '73876', '73876', '74168', '74174', '74455', '74746', '74747', '74748', '74748', '74749', '74752', '75068', '75457', '75461', '75792', '76206']
honorer	['67068']
ingénieur	['67068', '67071', '67554', '67795', '67944', '68273', '68273', '68276', '68276', '68383', '68383', '68645', '68883', '68888', '68888', '69541', '70161', '70161', '70161', '70161', '70161', '70426', '70748', '70916', '71362', '71615', '72113', '72394', '72633', '73185', '73185', '73185', '73185', '73185', '73185', '73430', '73430', '73430', '73431', '73434', '73684', '73685', '73685', '73685', '73685', '73689', '73882', '73882', '74170', '74172', '74450', '74450', '74450', '74450', '74455', '74747', '74751', '75071', '75071', '76206', '76212']
travailler	['67068', '67068', '67068', '67383', '67383', '67385', '67553', '67553', '67553', '67554', '67554', '67554', '67554', '67802', '67937', '67937', '67937', '67940', '67942', '67944', '68273', '68279', '68279', '68383', '68383', '68387', '68387', '68387', '68393', '68638', '68641', '68881', '68881', '68885', '68885', '68886', '69541', '69812', '69812', '70161', '70421', '70422', '70422', '71358', '71359', '71359', '71361', '71612', '71612', '71612', '71614', '71614', '71614', '71614', '71835', '71840', '72115', '72115', '72115', '72115', '72115', '72116', '72393', '72394', '72394', '72394', '72394', '72394', '72395', '72631', '72636', '72636', '72636', '72636', '72933', '72936', '73185', '73431', '73434', '73683', '73684', '73685', '73685', '73685', '73875', '73875', '73876', '73876', '73876', '74168', '74168', '74172', '74450', '74450', '74752', '75064', '75064', '75067', '75457', '75459', '75459', '75789', '75791', '75795', '76206', '76206', '76213', '76507', '76509', '76511', '76511']
établissement	['67068', '67383', '67795', '67795', '67795', '67795', '67944', '67944', '68881', '68888', '68888', '69178', '69181', '70162', '70915', '71358', '71358', '71362', '71362', '72113', '72113', '72392', '72393', '72398', '72936', '73430', '73876', '73876', '74175', '74175', '74749', '75063', '75068', '76507', '76507', '76513', '76513', '76513']
public	['67068', '67794', '67801', '67803', '67940', '67946', '68275', '68275', '68275', '68275', '68384', '68884', '68884', '69178', '69535', '69812', '70162', '70164', '70164', '70166', '70753', '70753', '71357', '71357', '71357', '71360', '71366', '71615', '72113', '72113', '72114', '72392', '72393', '72393', '72633', '72933', '72938', '73182', '73683', '73690', '73875', '73875', '74170', '74171', '74457', '74746', '74752', '75065', '75068', '76516', '76516']
recherche,	['67068', '67798', '68273', '68383', '68383', '68387', '69181', '69534', '69820', '70422', '71357', '71358', '71358', '71358', '71835', '72113', '72118', '72394', '73433', '73685', '73687', '73884', '74746', '75459', '75796']
universités,	['67068', '70914', '71614', '75796']
grand	['67068', '67068', '67068', '67071', '67383', '67383', '67387', '67387', '67387', '67387', '67388', '67553', '67553', '67553', '67554', '67795', '67795', '67796', '67796', '67798', '67937', '67937', '67938', '67938', '67938', '67939', '67939', '67939', '67940', '67943', '67945', '68273', '68273', '68275', '68275', '68276', '68277', '68383', '68389', '68392', '68638', '68638', '68638', '68638', '68642', '68643', '68643', '68643', '68881', '68882', '68882', '68882', '68886', '68888', '69177', '69177', '69178', '69180', '69181', '69181', '69181', '69181', '69182', '69534', '69535', '69535', '69535', '69540', '69540', '69541', '69543', '69812', '69812', '69814', '69814', '69814', '69814', '69820', '70161', '70161', '70161', '70163', '70164', '70166', '70170', '70420', '70420', '70421', '70423', '70424', '70424', '70424', '70424', '70424', '70425', '70426', '70746', '70748', '70914', '70914', '70914', '70917', '70918', '71357', '71357', '71358', '71358', '71358', '71362', '71362', '71363', '71366', '71366', '71612', '71614', '71614', '71617', '71621', '71621', '71621', '71835', '71836', '71836', '71836', '71837', '71842', '72113', '72114', '72115', '72392', '72392', '72395', '72397', '72629', '72630', '72630', '72633', '72933', '72933', '72936', '72936', '72937', '72937', '72937', '72937', '72937', '72939', '72940', '73182', '73182', '73185', '73187', '73430', '73430', '73431', '73434', '73434', '73683', '73684', '73687', '73687', '73690', '73875', '73875', '73876', '73876', '73882', '73882', '73883', '73884', '74167', '74168', '74172', '74175', '74175', '74176', '74450', '74450', '74456', '74745', '74746', '74752', '75063', '75063', '75066', '75070', '75071', '75457', '75458', '75458', '75788', '75788', '75789', '75792', '75794', '75795', '75797', '76211', '76211', '76213', '76511', '76511']
école	['67068', '67068', '67068', '67555', '67795', '67795', '68276', '68276', '68276', '68276', '68276', '68276', '68276', '69185', '69536', '69536', '70161', '70161', '70161', '71358', '71358', '71358', '71358', '71358', '71614', '73185', '73185', '73430', '73430', '73430', '73430', '73430', '73437', '73437', '74450']
industriel	['67068', '67068', '67386', '67386', '67388', '67554', '67554', '67554', '67554', '67557', '67558', '67798', '67946', '68273', '68273', '68274', '68275', '68276', '68276', '68278', '68278', '68280', '68383', '68383', '68392', '68641', '68642', '68881', '68881', '68882', '68882', '68885', '68888', '69534', '69535', '69535', '69541', '69541', '69541', '69541', '69815', '69817', '69818', '69819', '70161', '70161', '70161', '70161', '70166', '70166', '70170', '70420', '70426', '70426', '70748', '70753', '70914', '70915', '70917', '70923', '71358', '71362', '71362', '71363', '71363', '71614', '71615', '72113', '72116', '72392', '72392', '72392', '72394', '72394', '72399', '72629', '72634', '72937', '72938', '72938', '73875', '73876', '73879', '73879', '73879', '73884', '74167', '74172', '74172', '74174', '74450', '74450', '74455', '74456', '74744', '74744', '74744', '74744', '74746', '74747', '74747', '74747', '74747', '75065', '75457', '75457', '75462', '75465', '75791', '75792', '75792', '75792', '75793', '75793', '75795', '75795', '75796', '76211', '76213', '76508', '76508', '76511', '76511']
développer	['67068', '67388', '67389', '67553', '67553', '67554', '67554', '67557', '67795', '67796', '67798', '67801', '67938', '67939', '67939', '67945', '68274', '68276', '68277', '68277', '68278', '68279', '68384', '68387', '68391', '68392', '68641', '68642', '68645', '68645', '68881', '68881', '68881', '68881', '68884', '68886', '69177', '69178', '69178', '69182', '69534', '69537', '69811', '69812', '69813', '69813', '69813', '69815', '69815', '69819', '69820', '70421', '70421', '70421', '70421', '70426', '70748', '70748', '70753', '71357', '71358', '71359', '71359', '71359', '71359', '71360', '71612', '71614', '71614', '71614', '71616', '71621', '71621', '71838', '71838', '71840', '71842', '72115', '72115', '72116', '72121', '72392', '72392', '72394', '72394', '72396', '72399', '72630', '72630', '72630', '72630', '72630', '72935', '73183', '73430', '73434', '73435', '73436', '73686', '73689', '73878', '73879', '74167', '74167', '74167', '74167', '74171', '74171', '74172', '74172', '74176', '74450', '74451', '74451', '74455', '74745', '74745', '74745', '74747', '74749', '75063', '75065', '75067', '75067', '75068', '75069', '75461', '75462', '75465', '75788', '75789', '75793', '76207', '76207', '76207', '76208', '76208', '76211', '76212', '76507', '76508', '76509', '76510', '76511']
innovation	['67068', '68274', '68274', '68276', '68383', '68383', '68384', '69533', '69818', '70162', '71363', '71620', '72120', '72122', '72122', '72392', '72395', '72395', '72395', '72395', '72395', '72400', '72400', '72400', '72933', '72933', '72937', '73689', '73879', '73883', '73883', '73883', '74171', '74176', '74176', '74455', '74748', '75065', '75066', '75457', '75797', '76208', '76211', '76211', '76212', '76212']
marquantes.	['67068']
pour	['67068', '67383', '67385', '67386', '67388', '67389', '67553', '67554', '67554', '67554', '67554', '67557', '67558', '67794', '67796', '67800', '67801', '67801', '67802', '67937', '67937', '67938', '67941', '67945', '68273', '68383', '68384', '68388', '68644', '68882', '68882', '68884', '69178', '69178', '69179', '69183', '69533', '69533', '69534', '69536', '69537', '69541', '69543', '69814', '69814', '69816', '70161', '70161', '70162', '70163', '70166', '70169', '70422', '70423', '70424', '70425', '70425', '70426', '70746', '70747', '70916', '70918', '71837', '71840', '71841', '72115', '72116', '72121', '72392', '72395', '72397', '72629', '72629', '72634', '72934', '72935', '73185', '73684', '73686', '73875', '73881', '73883', '74168', '74168', '74168', '74170', '74452', '74452', '74456', '74745', '74749', '75064', '75066', '75069', '75070', '75071', '75457', '75789', '75791', '75792', '75792', '76211', '76212', '76213', '76508', '76511', '76511', '76511']
édition,	['67068', '70169', '72633', '73881', '74456', '75066', '76509']
nouveau	['67068', '67068', '67071', '67385', '67389', '67389', '67555', '67556', '67557', '67557', '67558', '67558', '67795', '67795', '67795', '67795', '67795', '67796', '67802', '67804', '67937', '67938', '67942', '67945', '68274', '68276', '68278', '68278', '68279', '68280', '68387', '68390', '68391', '68391', '68393', '68638', '68638', '68638', '68638', '68639', '68639', '68639', '68639', '68640', '68643', '68644', '68645', '68646', '68881', '68882', '68883', '68885', '68887', '69177', '69177', '69177', '69178', '69179', '69179', '69179', '69180', '69181', '69183', '69183', '69533', '69533', '69533', '69533', '69533', '69533', '69533', '69534', '69538', '69538', '69538', '69538', '69538', '69539', '69813', '69814', '69815', '69816', '70164', '70164', '70164', '70169', '70420', '70422', '70423', '70423', '70423', '70426', '70745', '70746', '70748', '70751', '70751', '70751', '70751', '70914', '70914', '70914', '70916', '70918', '70918', '70918', '71357', '71358', '71358', '71359', '71359', '71359', '71359', '71359', '71361', '71362', '71612', '71614', '71615', '71616', '71616', '71618', '71618', '71619', '71835', '71835', '71836', '71837', '71838', '71840', '72116', '72116', '72118', '72118', '72118', '72118', '72118', '72120', '72122', '72122', '72392', '72392', '72392', '72393', '72395', '72395', '72395', '72396', '72396', '72396', '72398', '72399', '72629', '72629', '72630', '72631', '72631', '72632', '72637', '72637', '72637', '72933', '72933', '72933', '72933', '72933', '72934', '72935', '72935', '72938', '73182', '73184', '73185', '73187', '73188', '73189', '73431', '73431', '73431', '73432', '73433', '73433', '73434', '73434', '73683', '73684', '73684', '73685', '73686', '73687', '73875', '73875', '73876', '73876', '73876', '73877', '73878', '73878', '73879', '73880', '74167', '74168', '74168', '74168', '74169', '74170', '74170', '74170', '74171', '74171', '74174', '74174', '74175', '74176', '74449', '74451', '74452', '74453', '74453', '74454', '74454', '74455', '74455', '74455', '74456', '74456', '74744', '74744', '74745', '74746', '74746', '74747', '74747', '74748', '74748', '74748', '74749', '74750', '74751', '74751', '74752', '75063', '75063', '75063', '75065', '75065', '75066', '75067', '75067', '75068', '75069', '75069', '75070', '75459', '75461', '75463', '75463', '75789', '75792', '75792', '75796', '75796', '76209', '76209', '76209', '76209', '76211', '76213', '76213', '76213', '76512', '76512', '76513', '76514']
distinction	['67068', '67937', '71357', '71835']
attribuer	['67068', '72932']
réputé	['67068', '67383', '67383', '67795', '67937', '67938', '68387', '68881', '70919', '73683', '73878', '75462']
l'économiste	['67068', '68882']
Esther	['67068']
Duflo,	['67068']
roboticien	['67068', '67383', '67383']
François	['67068', '67383', '67383', '67383', '67383', '67794', '68280', '69542', '71357', '71357', '71357', '72932', '72936', '72936', '74456']
Pierrot	['67068', '67383', '67383']
physicien	['67068', '67068', '67068', '67943', '67943', '68391', '68638', '68638', '68638', '68638', '68638', '68881', '69540', '69540', '72932', '72932', '72934', '74168', '74451']
Fink.	['67068', '67068']
directeur	['67068', '67068', '67068', '67068', '67383', '67795', '67795', '67796', '67802', '67937', '67946', '68273', '68273', '68275', '68276', '68279', '68279', '68279', '68279', '68638', '68638', '68638', '68638', '68881', '68881', '69812', '69813', '69817', '70161', '70165', '70420', '70420', '70420', '70423', '70745', '70916', '71366', '71616', '71619', '71621', '71621', '71835', '71837', '71837', '71837', '72113', '72113', '72113', '72392', '72392', '72392', '72396', '72396', '72398', '72398', '72630', '72932', '72933', '72933', '72936', '72939', '73183', '73183', '73183', '73433', '73433', '73683', '73683', '73876', '73877', '73879', '73879', '74169', '74171', '74172', '74172', '74172', '74453', '74453', '74454', '74457', '74744', '74745', '75457', '75457', '75457', '75459', '75462', '75788', '75788', '76207', '76209', '76511', '76513', '76515']
l'Institut	['67068', '67068', '67388', '67388', '67389', '67561', '67794', '67802', '68273', '68276', '68277', '68391', '68392', '68638', '68641', '68641', '68885', '68885', '68885', '68887', '69183', '69183', '69186', '69186', '69186', '69539', '69814', '69814', '69819', '70161', '70161', '70167', '70167', '70168', '70424', '70744', '70745', '70747', '70747', '70748', '70916', '70922', '71358', '71358', '71360', '71360', '71360', '71362', '71612', '71614', '71615', '71616', '71835', '71835', '72115', '72121', '72121', '72398', '72399', '72635', '72932', '72932', '72939', '73183', '73430', '73430', '73430', '73436', '73686', '73687', '73688', '73877', '73881', '73883', '73883', '74168', '74451', '74452', '74452', '74453', '75064', '75065', '75068', '75070', '75463', '75792', '75794', '76211', '76512']
Langevin	['67068', '67068', '70747']
"Ondes	['67068', '67068']
Images",	['67068', '67068']
créer	['67068', '67068', '67068', '67068', '67383', '67383', '67553', '67795', '67798', '67803', '67803', '67804', '67938', '67944', '68392', '68393', '68638', '68642', '68643', '68646', '68881', '68881', '68881', '68881', '69180', '69181', '69540', '69541', '69812', '69814', '69818', '70162', '70162', '70166', '70422', '70424', '70748', '71358', '71358', '71358', '71614', '71614', '71619', '71621', '71840', '71840', '72113', '72392', '72629', '72629', '72629', '72630', '72633', '72937', '72939', '73182', '73182', '73185', '73430', '73430', '73430', '73433', '73433', '73435', '73685', '73685', '73687', '73691', '73875', '73876', '73879', '73883', '74169', '74172', '74176', '74450', '74450', '74450', '74450', '74451', '74453', '74454', '74744', '74745', '74746', '74747', '74749', '74749', '74751', '74752', '74752', '75063', '75066', '75067', '75457', '75458', '75792', '76207', '76207', '76211', '76507', '76507', '76509']
janvier	['67068', '67555', '68638', '68881', '68881', '68884', '68885', '68887', '68888', '68888', '69177', '69180', '69184', '69812', '70162', '70169', '70745', '71840', '71845', '72113', '72392', '72396', '72633', '72635', '72635', '73184', '73184', '73185', '73685', '74170', '74456', '74748']
2009	['67068', '67068', '67945', '68386', '68882', '73688', '73879', '73883', '76514']
l'Ecole	['67068', '68383', '68638', '68638', '68638', '68638', '68638', '68639', '68888', '68888', '68889', '69180', '69180', '69185', '69540', '69820', '69820', '70168', '70426', '70426', '70743', '70743', '71358', '71361', '71361', '71363', '71614', '72398', '72398', '72398', '72398', '72398', '72398', '72398', '72398', '72633', '72932', '72932', '72932', '72932', '72936', '72936', '72936', '72936', '72936', '72936', '73182', '73182', '73182', '73183', '73190', '73430', '73430', '73430', '73431', '73683', '73686', '73876', '73876', '73879', '74175', '74455', '74751', '75071', '75071', '75464', '75464', '75464', '75796', '76208', '76211', '76211', '76211']
chimie	['67068', '67068', '67071', '67561', '67561', '67561', '67561', '68278', '68278', '68280', '68280', '68387', '68387', '68643', '68885', '69183', '69183', '70166', '70167', '71362', '71612', '72115', '72118', '72630', '72630', '73189', '74744', '74750', '75067', '75067', '75070', '75461', '75461', '75792', '76206']
Industrielles	['67068', '68280']
ville	['67068', '67383', '67555', '68277', '68280', '68889', '69535', '72400', '73182', '73690', '75466', '76511']
Paris	['67068', '67556', '67804', '67804', '68280', '68280', '69184', '69185', '69186', '70162', '70162', '70168', '70168', '70421', '70424', '70426', '70426', '70747', '70747', '70748', '70922', '72120', '72393', '72935', '72936', '72936', '73190', '73430', '73684', '74172', '74451', '74750', '74751', '74752', '75071', '75457', '75788', '76211']
(ESPCI),	['67068']
Fink	['67068', '67068', '67068', '67068', '67068', '67068']
remarquable	['67068', '67937', '67938', '69186', '70424', '70425', '70425', '71621', '72933', '73184', '76213']
innovent.	['67068']
équipe	['67068', '67068', '67068', '67068', '67383', '67383', '67554', '67554', '67554', '67554', '67555', '67556', '67557', '67799', '67802', '67939', '67939', '67940', '67944', '68279', '68283', '68384', '68384', '68384', '68385', '68387', '68387', '68388', '68390', '68391', '68392', '68639', '68639', '68881', '68887', '69177', '69177', '69183', '69533', '69536', '69537', '69537', '69541', '69813', '69819', '70161', '70162', '70162', '70166', '70421', '70745', '70914', '70917', '70919', '70922', '71357', '71359', '71359', '71359', '71615', '71835', '71837', '71843', '72116', '72392', '72629', '72631', '72631', '72937', '73184', '73184', '73186', '73188', '73189', '73436', '73683', '73688', '73689', '73875', '73876', '73876', '73877', '73877', '74167', '74170', '74171', '74172', '74172', '74176', '74453', '74454', '74744', '74744', '74744', '74745', '74749', '75064', '75065', '75067', '75067', '75069', '75069', '75788', '75789', '75791', '75792', '76212', '76212']
aboutir	['67068', '71362', '71835', '72393', '73187', '73431', '73876', '74167', '74167', '74168', '74169', '74450', '74751', '75069', '75789', '76508', '76511']
création	['67068', '67068', '67068', '67553', '67795', '67798', '67798', '67802', '67937', '68279', '68638', '68638', '68882', '68888', '69177', '69180', '69180', '70162', '70420', '70426', '70426', '70748', '70917', '71362', '71614', '72114', '72393', '72637', '72933', '72936', '73430', '73430', '73434', '73683', '73687', '73875', '73876', '73878', '73878', '73879', '74450', '74450', '75464', '75466', '75792', '76512']
quatre	['67068', '67068', '67071', '67383', '67383', '67555', '67941', '67943', '67946', '68383', '68639', '68886', '69533', '69534', '69534', '70162', '70422', '70744', '71357', '71357', '71357', '71362', '71618', '72629', '73185', '73683']
start-ups,	['67068']
totalisent	['67068']
230	['67068', '70745']
personnes,	['67068', '67068', '67553', '68387', '68646', '68881', '69812', '70745', '71359', '71361', '71612', '71614', '71615', '71837', '72114', '73684', '73875', '74451', '74453', '74746', '75063', '75063', '75795', '76508']
domaine	['67068', '67068', '67383', '67388', '67390', '67390', '67392', '67553', '67553', '67561', '67795', '67799', '67940', '67946', '68275', '68276', '68383', '68384', '68387', '68387', '68638', '68639', '68639', '68639', '68642', '68642', '68643', '68881', '68881', '68882', '68889', '69179', '69536', '69536', '69811', '69812', '69812', '69812', '69812', '69812', '69820', '70161', '70166', '70168', '70421', '70421', '70423', '70424', '70426', '70748', '70914', '71358', '71358', '71358', '71359', '71361', '71612', '71612', '71612', '71614', '71837', '72114', '72114', '72115', '72116', '72116', '72118', '72121', '72398', '72398', '72398', '72633', '72932', '72933', '72937', '72938', '73182', '73190', '73432', '73437', '73684', '73684', '73687', '73691', '73875', '73876', '73876', '73877', '73878', '73879', '73881', '73883', '74167', '74450', '74452', '74455', '74745', '74745', '74746', '74747', '74750', '75063', '75067', '75067', '75465', '75465', '75465', '75465', '75466', '75789', '75792', '75792', '75797', '75797', '76208', '76212', '76508', '76508', '76511', '76511', '76514', '76514', '76515', '76515']
varier	['67068', '67388', '67938', '68886', '70161', '70919', '72116', '72394', '74173', '75466']
médecine,	['67068']
télécommunications,	['67068', '67068', '67386', '68392', '68392', '73190', '75071', '75789', '76508']
multimédia	['67068']
objet	['67068', '67796', '68274', '68881', '70163', '70163', '70163', '70421', '70744', '70744', '72637', '72936', '73186', '73879', '74450', '74450', '75071', '75791', '75791', '75792']
tactiles.	['67068']
